Season,Position,Prize,Team,Player,Total Games,Total Wins,Total Score,Total Goals,Total Assists,Total Saves,Total Shots,Win%,Score per game,Goals per game,Assists per game,Saves per game,Shots per game
RLCS1,1.0,27500,IBP COSMIC,0VER ZER0,20,14,4945,13,14,29,48,70.0,247.25,0.65,0.7,1.45,2.4
RLCS1,1.0,27500,IBP COSMIC,KRONOVI,20,14,5400,24,10,37,41,70.0,270.0,1.2,0.5,1.85,2.05
RLCS1,1.0,27500,IBP COSMIC,LACHINIO,20,14,4885,17,11,41,39,70.0,244.25,0.85,0.55,2.05,1.95
RLCS1,2.0,11000,FLIPSID3 TACTICS,KUXIR97,26,17,7010,29,14,22,100,65.38,269.62,1.12,0.54,0.85,3.85
RLCS1,2.0,11000,FLIPSID3 TACTICS,M1K3RULES,26,17,6250,27,20,25,88,65.38,240.38,1.04,0.77,0.96,3.38
RLCS1,2.0,11000,FLIPSID3 TACTICS,MARKYDOODA,26,17,6410,18,24,27,83,65.38,246.54,0.69,0.92,1.04,3.19
RLCS1,3.0,4950,NORTHERN GAMING,GREAZY,17,9,4270,12,15,13,47,52.94,251.18,0.71,0.88,0.76,2.76
RLCS1,3.0,4950,NORTHERN GAMING,MAESTRO,17,9,4125,20,8,14,61,52.94,242.65,1.18,0.47,0.82,3.59
RLCS1,3.0,4950,NORTHERN GAMING,REMKOE,17,9,4145,13,11,18,46,52.94,243.82,0.76,0.65,1.06,2.71
RLCS1,4.0,3850,THE FLYING DUTCHMEN,DOGU,15,6,3450,13,4,26,34,40.0,230.0,0.87,0.27,1.73,2.27
RLCS1,4.0,3850,THE FLYING DUTCHMEN,JESSIE,15,6,2915,8,6,17,30,40.0,194.33,0.53,0.4,1.13,2.0
RLCS1,4.0,3850,THE FLYING DUTCHMEN,VOGAN,15,6,3370,7,8,30,27,40.0,224.67,0.47,0.53,2.0,1.8
RLCS1,5.5,2750,EXODUS,GARRETTG,9,3,2380,9,3,17,20,33.33,264.44,1.0,0.33,1.89,2.22
RLCS1,5.5,2750,EXODUS,MOSES,9,3,1780,5,6,14,15,33.33,197.78,0.56,0.67,1.56,1.67
RLCS1,5.5,2750,EXODUS,TURTLE,9,3,1700,3,4,12,19,33.33,188.89,0.33,0.44,1.33,2.11
RLCS1,5.5,2750,GENESIS,ESPEON,13,5,2555,4,3,18,26,38.46,196.54,0.31,0.23,1.38,2.0
RLCS1,5.5,2750,GENESIS,PLUTO,13,5,2400,6,2,14,27,38.46,184.62,0.46,0.15,1.08,2.08
RLCS1,5.5,2750,GENESIS,QUINN LOBDELL,13,5,2280,6,5,17,25,38.46,175.38,0.46,0.38,1.31,1.92
RLCS1,7.5,1100,KINGS OF URBAN,FIREBURNER,8,2,1640,5,3,10,17,25.0,205.0,0.62,0.38,1.25,2.12
RLCS1,7.5,1100,KINGS OF URBAN,JACOB,8,2,1940,7,6,11,16,25.0,242.5,0.88,0.75,1.38,2.0
RLCS1,7.5,1100,KINGS OF URBAN,SADJUNIOR,8,2,1695,3,4,9,22,25.0,211.88,0.38,0.5,1.12,2.75
