Team,Player,Games Played,Win%,Score,Goals,Assists,Saves,Shots,Position,Prize$
Method,al0t,27,48.15,6115,10,16,34,71,2,"30,000"
Method,Metsanauris,27,48.15,6815,13,12,45,60,2,"30,000"
Method,Mognus,27,48.15,8040,18,7,46,91,2,"30,000"
Cloud9,SquishyMuffinz,25,52,7460,22,14,44,64,3,"16,000"
Cloud9,Gimmick,25,52,7235,25,16,33,70,3,"16,000"
Cloud9,Torment,25,52,5995,9,13,47,54,3,"16,000"
G2 Esports,Kronovi,23,52.17,5160,13,15,33,45,4,"11,000"
G2 Esports,Rizzo,23,52.17,5610,14,13,36,57,4,"11,000"
G2 Esports,Jknaps,23,52.17,6355,19,11,27,62,4,"11,000"
Gale Force,Kaydop,18,77.78,5135,13,11,30,61,1,"55,000"
Gale Force,ViolentPanda,18,77.78,4925,12,11,20,40,1,"55,000"
Gale Force,Turbopolsa,18,77.78,5310,15,8,24,61,1,"55,000"
PSG Esports,Chausette45,17,52.94,3905,9,10,20,36,5.5,"8,000"
PSG Esports,Ferra,17,52.94,3550,13,3,16,48,5.5,"8,000"
PSG Esports,Bluey,17,52.94,4870,7,11,31,43,5.5,"8,000"
Chiefs Esports,Jake,14,42.86,3295,7,11,19,27,7.5,"6,000"
Chiefs Esports,Drippay,14,42.86,4140,16,3,25,37,7.5,"6,000"
Chiefs Esports,Torsos,14,42.86,3145,5,10,15,33,7.5,"6,000"
Ghost,Lethamyr,13,38.46,3430,8,6,26,30,5.5,"8,000"
Ghost,Zanejackey,13,38.46,2955,4,7,23,21,5.5,"8,000"
Mock-it EU,Paschy90,13,53.85,3095,7,10,16,28,7.5,"6,000"
Mock-it EU,Fairy Peak,13,53.85,3820,16,5,15,36,7.5,"6,000"
Mock-it EU,FreaKii,13,53.85,3350,7,8,24,33,7.5,"6,000"
Ghost,Klassux,13,38.46,2965,7,3,15,34,5.5,"8,000"
NRG Esports,Fireburner,10,40,2165,6,6,9,26,9.5,"5,000"
NRG Esports,GarrettG,10,40,3080,5,0,19,37,9.5,"5,000"
NRG Esports,Jacob,10,40,2285,2,4,18,18,9.5,"5,000"
Pale Horse,CJCJ,6,0,1030,2,4,5,13,9.5,"5,000"
Pale Horse,Kamii,6,0,1295,3,1,7,16,9.5,"5,000"
Pale Horse,Kia,6,0,1330,3,2,12,13,9.5,"5,000"
