Team,Player,Games Played,Win%,Score,Goals,Assists,Saves,Shots,Position,Prize$
Team Dignitas,ViolentPanda,32,68.75,8775,20,28,44,89,1,"100,000"
Team Dignitas,Turbopolsa,32,68.75,8880,28,10,46,99,1,"100,000"
Team Dignitas,Kaydop,32,68.75,9045,21,21,51,96,1,"100,000"
NRG Esports,Fireburner,24,58.33,5090,10,17,31,46,2,"60,000"
NRG Esports,JSTN,24,58.33,7925,15,16,52,66,2,"60,000"
NRG Esports,GarrettG,24,58.33,7210,25,7,42,71,2,"60,000"
compLexity Gaming,al0t,20,55,4905,14,7,25,48,3,"30,000"
compLexity Gaming,Metsanauris,20,55,4635,3,16,39,33,3,"30,000"
compLexity Gaming,Mognus,20,55,6810,17,8,46,58,3,"30,000"
Evil Geniuses,CorruptedG,18,44.44,4450,12,9,27,49,5.5,"10,000"
Evil Geniuses,Chrome,18,44.44,4170,8,11,30,43,5.5,"10,000"
Evil Geniuses,Klassux,18,44.44,4765,13,10,21,54,5.5,"10,000"
Chiefs Esports,Torsos,15,46.67,3785,8,7,20,34,5.5,"10,000"
Chiefs Esports,Drippay,15,46.67,4055,12,5,23,35,5.5,"10,000"
Chiefs Esports,Jake,15,46.67,2670,1,6,17,28,5.5,"10,000"
Cloud9,SquishyMuffinz,13,53.85,3335,7,8,14,34,4,"15,000"
Cloud9,Gimmick,13,53.85,3420,12,6,19,34,4,"15,000"
Cloud9,Torment,13,53.85,3100,6,6,16,29,4,"15,000"
Team EnVyUs,Eyelgnite,12,33.33,3230,8,5,16,27,7.5,"7,000"
Team EnVyUs,Deevo,12,33.33,2835,3,8,18,19,7.5,"7,000"
Team EnVyUs,remkoe,12,33.33,3295,9,4,20,27,7.5,"7,000"
Team Vitality,Fairy Peak,8,25,1915,2,4,13,13,9.5,"5,500"
Tainted Minds,Julz,8,25,1675,5,3,8,16,9.5,"5,500"
Tainted Minds,CJCJ,8,25,2595,7,7,13,27,9.5,"5,500"
G2 Esports,Kronovi,8,25,1785,5,3,8,22,7.5,"7,000"
Team Vitality,Paschy90,8,25,1705,3,3,9,16,9.5,"5,500"
G2 Esports,Rizzo,8,25,2100,6,4,20,14,7.5,"7,000"
Team Vitality,FreaKii,8,25,1990,5,3,16,18,9.5,"5,500"
Tainted Minds,Kamii,8,25,2460,6,7,11,22,9.5,"5,500"
G2 Esports,Jknaps,8,25,2120,4,5,13,23,7.5,"7,000"
